CLE301,Community Government Association (CGA) President,0,1,,,,,,,,,1,2
CLE380,CLE - BU Writing Center Special Topic,0,1,,,,,,,,,,1
CLE390,Writing in the Disciplines Special Topics,0,1,,,,,,,,,,1
COMMSTUD102,Introduction to Communication Studies,3,,,,,,3,,,,,3
COMMSTUD103,Public Speaking,3,3,,,,,,,,,,3
COMMSTUD104,Interpersonal Communication,3,3,,,,,,,,,,3
COMMSTUD106,Small Group Communication,3,1,,1,,,,,,,1,3
COMMSTUD220,Intercultural Communication,3,1,,,2,,,,,,,3
COMMSTUD309,Gender Issues in Communication,3,1,,,2,,,,,,,3
CRIMJUST101,Introduction to Criminal Justice,3,,,,,,3,,,,,3
DANCE111,Dance History Topics: Building 20th Century Dance,3,,,,,,,3,,,,3
DANCE223,Intermediate Jazz Dance II,3,,,,,,,,,2,,2
DEAFHH099,Co-curricular SLED (Students Linked to Education of the Deaf),0,,,,,,,,,,1,1
DEVSTUDY103,The Art of Possibility and Mindfulness  Practice (same as ENRICH103),3,,,,1,,1,,,,1,3
ECONOMIC121,Principles of Macroeconomics,3,,,,,,3,,,,,3
ECONOMIC122,Principles of Microeconomics,3,,,,,,3,,,,,3
ECONOMIC156,Business and Economics Math,3,,,3,,,,,,,,3
ECONOMIC256,Business and Economics Statistics 1,3,,,3,,,,,,,,3
ECONOMIC313,Labor Economics,3,,,,2,,,,,,,2
EDFOUND204,Educational Techonology for Teaching and Learning,3,,3,,,,,,,,,3
EDFOUND206,"Teachers, Schools, & Society",1,,,,,,1,,,,,1
EDFOUND291,Principles of Teaching,3,2,,,1,,,,,,,3
EDFOUND406,Multicultural Education,3,,,,2,,,,,,1,3
EDFOUND414,"Home, School and Community Relations",3,,,,1,,1,,,,1,3
EGGS100,Intro to Environmental Science,3,,,,,3,,,,,,3
EGGS101,Intro to Physical Geography,3,,,1,,2,,,,,,3
EGGS102,World Cultural Geography,3,,,,2,,1,,,,,3
EGGS103,Dinosaurs,3,,,,,3,,,,,,3
EGGS104,World Regional Geography,3,,,,1,,2,,,,,3
EGGS105,Environmental Issues & Choices,3,,1,,,1,1,,,,,3
EGGS106,The Planets,3,,,,,3,,,,,,3
EGGS107,Natural Disasters,3,,,,,3,,,,,,3
EGGS150,Quantitative Methods in Earth Science,3,,,3,,,,,,,,3
EGGS255,Meteorology,3,,,,,3,,,,,,3
EGGS259,Oceanography,3,,,,,3,,,,,,3
ENGLISH101,Foundations of College Writing,3,3,,,,,,,,,,3
ENGLISH111,Language and Social Interaction,3,,,,3,,,,,,,3
ENGLISH151,Introduction to Literature,3,1,,,,,,2,,,,3
ENGLISH152,Literature & Society,3,1,,,,,,2,,,,3
ENGLISH156,Popular Literature,3,1,,,,,,2,,,,3
ENGLISH203,Approaches to Literary Study,3,,1,1,,,,,,,,2
ENGLISH204,Introduction to Creative Writing,3,1,,,,,,2,,,,3
ENGLISH212,English Grammar and Usage,3,3,,,,,,,,,,3
ENGLISH226,European Literature I,3,1,,,,,,2,,,,3
ENGLISH227,European Literature II,3,1,,,,,,2,,,,3
ENGLISH236,American Literature I,3,1,,,,,,2,,,,3
ENGLISH237,American Literature II,3,1,,,,,,2,,,,3
ENGLISH246,British Literature I,3,1,,,,,,2,,,,3
ENGLISH247,British Literature II,3,1,,,,,,2,,,,3
ENGLISH256,Non-Western Literature I,3,1,,,1,,,1,,,,3
ENGLISH257,Non-Western Literature II,3,1,,,1,,,1,,,,3
ENGLISH280,Poetry,3,1,,,,,,2,,,,3
ENGLISH281,U.S. Latino Literature,3,1,,,1,,,1,,,,3
ENGLISH283,Jewish Fiction: An International Perspective,3,1,,,1,,,1,,,,3
ENGLISH286,Women's Literature Survey,3,1,,,,,,2,,,,3
ENGLISH287,Black Women Writers,3,1,,,1,,,1,,,,3
ENGLISH288,Feminist Reading of Culture,3,1,,,1,,,1,,,,3
ENGLISH380,Queer Theory and Cultures,3,,,,1,,,,,,,1
ENRICH103,The Art of Possibility and Mindfulness  Practice (same as DEVSTUDY103),3,,,,1,,1,,,,1,3
ENRICH105,Foundations for College Success,2,,1,,,,,,,,,1
EXERSCI114,Team Sports,2,,,,,,,,,2,,2
EXERSCI117,Beginning Jazz/Ballet,2,,,,,,,,,2,,2
EXERSCI150,Aquatic Fitness,2,,,,,,,,,2,,2
EXERSCI226,Jogging / Walking,1,,,,,,,,,1,,1
EXERSCI230,Weight Training and Fitness,1,,,,,,,,,1,,1
EXERSCI241,Judo and Self-defense,2,,,,,,,,,2,,2
EXERSCI250,Lifeguarding,3,,,,,,,,,2,1,3
EXERSCI270,Exercise & You,2,,,,,,,,,2,,2
